Territory,Cong,Pres,Bapt,Epis,Quak,G.Ref,Luth,D.Ref,Meth,R.Cat.,Mor.,Sep.,Dunk,Menn,Hueg,Sand
Maine,5.8,1.9,1.0,1.2,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,11.9,4.6,2.2,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0
Vermont,1.9,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0
Massachusetts,46.8,2.2,12.6,3.3,6.1,0.0,0.0,0.0,1.6,0.0,0.0,38.7,0.0,0.0,0.0,16.7
Rhode Island,2.3,0.2,10.1,1.2,3.7,0.0,0.0,0.0,0.0,0.0,3.4,3.2,0.0,0.0,0.0,16.7
Connecticut,30.0,0.7,5.9,11.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,45.2,0.0,0.0,0.0,66.7
NEW ENGLAND,98.8,9.9,32.2,17.8,13.5,0.0,0.7,0.0,1.6,0.0,3.4,96.8,0.0,0.0,0.0,100.0
New York,0.6,6.0,3.6,7.0,8.1,6.7,13.2,50.4,11.3,1.8,17.2,3.2,0.0,0.0,60.0,0.0
Pennsylvania,0.0,25.5,5.3,6.6,27.6,62.7,36.1,40.0,1.6,17.9,48.3,0.0,66.7,81.3,0.0,0.0
New Jersey,0.2,13.2,9.3,5.9,13.1,4.0,16.7,7.0,24.2,8.9,6.9,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,4.3,0.6,3.1,4.4,0.0,0.7,0.9,4.8,9.7,0.0,0.0,0.0,0.0,0.0,0.0
Maryland,0.0,5.1,1.0,11.5,7.7,10.7,10.4,1.7,37.1,58.9,6.9,0.0,20.8,6.3,0.0,0.0
MIDDLE COLONIES,0.8,54.1,19.8,34.1,60.8,84.1,77.1,100.0,79.0,97.2,79.3,3.2,87.5,87.6,60.0,0.0
Virginia,0.0,18.5,29.8,34.8,11.8,5.3,6.3,0.0,16.1,1.8,0.0,0.0,4.2,12.5,0.0,0.0
North Carolina,0.0,8.0,8.5,4.9,10.1,8.0,2.1,0.0,3.2,0.0,17.2,0.0,0.0,0.0,0.0,0.0
South Carolina,0.3,8.9,8.3,7.8,2.7,2.7,10.4,0.0,0.0,0.0,0.0,0.0,8.3,0.0,40.0,0.0
Georgia,0.2,0.5,1.4,0.6,1.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHERN COLONIES,0.5,35.9,48.0,48.1,25.5,16.0,22.3,0.0,19.3,1.8,17.2,0.0,12.5,12.5,40.0,0.0
N_star,663,584,494,488,297,150,144,115,62,56,29,31,24,16,5,6
